AP_ID,Floor,Region,Spatial_Info
192,1,Zone_AP_192,"Centroid: (15.50, 56.06), Box: X[6-24] Y[45-69], Area: 412 cells, Contiguous"
193,1,Zone_AP_193,"Centroid: (13.53, 74.73), Box: X[6-24] Y[65-86], Area: 292 cells, Contiguous"
194,1,Zone_AP_194,"Centroid: (15.62, 94.21), Box: X[6-24] Y[78-106], Area: 461 cells, Contiguous"
195,2,Zone_AP_195,"Centroid: (14.94, 34.22), Box: X[6-24] Y[5-65], Area: 1129 cells, Contiguous"
196,2,Zone_AP_196,"Centroid: (15.44, 68.18), Box: X[6-24] Y[63-72], Area: 163 cells, Contiguous"
197,2,Zone_AP_197,"Centroid: (15.00, 77.50), Box: X[6-24] Y[73-82], Area: 190 cells, Contiguous"
198,2,Zone_AP_198,"Centroid: (15.00, 94.50), Box: X[6-24] Y[83-106], Area: 456 cells, Contiguous"
199,0,Zone_AP_199,"Centroid: (15.53, 121.05), Box: X[6-24] Y[112-132], Area: 359 cells, Contiguous"
200,0,Zone_AP_200,"Centroid: (9.97, 136.35), Box: X[6-18] Y[127-149], Area: 156 cells, Contiguous"
201,0,Zone_AP_201,"Centroid: (17.63, 143.12), Box: X[6-24] Y[132-150], Area: 226 cells, Contiguous"
202,1,Zone_AP_202,"Centroid: (11.62, 120.88), Box: X[6-18] Y[112-131], Area: 234 cells, Contiguous"
203,1,Zone_AP_203,"Centroid: (20.50, 141.00), Box: X[17-24] Y[132-150], Area: 152 cells, Contiguous"
204,1,Zone_AP_204,"Centroid: (10.94, 140.68), Box: X[6-16] Y[131-150], Area: 216 cells, Contiguous"
205,1,Zone_AP_205,"Centroid: (20.99, 122.07), Box: X[17-24] Y[112-131], Area: 139 cells, Contiguous"
206,2,Zone_AP_206,"Centroid: (15.69, 118.78), Box: X[6-24] Y[112-128], Area: 272 cells, Contiguous"
207,2,Zone_AP_207,"Centroid: (12.96, 129.98), Box: X[6-24] Y[123-135], Area: 161 cells, Contiguous"
208,2,Zone_AP_208,"Centroid: (19.71, 141.80), Box: X[15-24] Y[132-150], Area: 173 cells, Contiguous"
209,2,Zone_AP_209,"Centroid: (10.00, 143.00), Box: X[6-14] Y[136-150], Area: 135 cells, Contiguous"
210,0,Zone_AP_210,"Centroid: (19.12, 162.00), Box: X[11-24] Y[156-171], Area: 153 cells, Contiguous"
211,0,Zone_AP_211,"Centroid: (10.27, 167.47), Box: X[6-18] Y[156-179], Area: 202 cells, Contiguous"
212,0,Zone_AP_212,"Centroid: (17.82, 177.89), Box: X[6-24] Y[171-184], Area: 160 cells, Contiguous"
213,0,Zone_AP_213,"Centroid: (14.44, 188.49), Box: X[6-24] Y[181-194], Area: 226 cells, Contiguous"
214,1,Zone_AP_214,"Centroid: (13.13, 163.83), Box: X[6-24] Y[156-175], Area: 281 cells, Contiguous"
215,1,Zone_AP_215,"Centroid: (20.30, 173.52), Box: X[13-24] Y[161-184], Area: 161 cells, Contiguous"
216,1,Zone_AP_216,"Centroid: (13.91, 186.29), Box: X[6-24] Y[176-194], Area: 299 cells, Contiguous"
217,2,Zone_AP_217,"Centroid: (15.00, 163.00), Box: X[6-24] Y[156-170], Area: 285 cells, Contiguous"
218,2,Zone_AP_218,"Centroid: (12.27, 177.36), Box: X[6-24] Y[171-190], Area: 209 cells, Contiguous"
219,2,Zone_AP_219,"Centroid: (17.31, 186.85), Box: X[6-24] Y[173-194], Area: 247 cells, Contiguous"
